Assignee,Prompt,Verification,Function Written,Proved Solvable,Notes,,,
Alan,"Create a new page titled 'Q1 2024 Sprint Analysis' as a child of the 'Meeting Notes' page. Fetch all sub-pages of 'Meeting Notes', then for each sub-page, count the total to-do blocks and how many are checked. Structure the new page with: heading_1 '📊 Q1 2024 Sprint Analysis', heading_2 '📈 Task Completion Overview', paragraph with exact text 'Total tasks across all meetings: [TOTAL_COUNT]', paragraph 'Overall completion rate: [PERCENTAGE]%'. For each meeting page found, add a heading_3 with '📅 [meeting title]', then a bulleted list showing 'Total tasks: [X]', 'Completed: [Y] ([Z]%)', 'Pending: [A]'. End with a callout block with Blue background containing text 'Generated on [TODAY'S DATE]'.",The page must be a child of 'Meeting Notes'. Must contain exact counts of to-do blocks from each sub-page. Percentages must be calculated correctly. Each meeting must have its own heading_3 section with accurate task counts. The final callout must have Blue background and today's date.,✅,✅,,,,
Alan,"Navigate to the 'Bug Tracker' page. Insert a new priority section immediately AFTER the 'Critical Bugs' section but BEFORE the 'Medium Priority' heading. The new section must have a heading_2 block with text 'High Priority', followed by exactly three unchecked to-do blocks: '🔴 Fix memory leak in block renderer', '🔴 Resolve race condition in real-time sync', and '🔴 Handle edge case in permission validation'. Then add a divider block after these todos. Additionally, count all existing to-do blocks on the page and add a callout block at the very end of the page (after all existing content) with blue background and 📊 icon containing the exact text 'Bug Statistics: Total bugs tracked: [X], Resolved: [Y] ([Z]%), Pending: [A]' where X is total todos, Y is checked todos, Z is percentage resolved, and A is unchecked todos.",The 'High Priority' section must be positioned exactly between 'Critical Bugs' and 'Medium Priority' sections. The three to-do items must have the exact text with 🔴 prefix and be unchecked. A divider must follow the todos. The statistics callout must be at the end of the page with correct counts and percentage calculation.,✅,✅,,,,
Alan,"Navigate to the 'Weekly Standup Template' page. Between the 'What I plan to do next week' section and the 'Blockers' heading, insert a new section for time tracking. Add a heading_2 '⏱️ Time Allocation This Week' followed by a callout block with blue_background, no icon, containing a heading_3 'Hours by Category'. Within the same callout, add a numbered list: '1. Feature development: 24 hours', '2. Code reviews: 8 hours', '3. Meetings: 6 hours', '4. Documentation: 2 hours'. After closing the callout, add a paragraph with bold text '**Total productive hours: 40**'. Then count all todo items on the page and add another paragraph with italic text '*Tasks completed: [X] of [Y] ([Z]% completion rate)*' where X is checked todos, Y is total todos, and Z is the percentage.",Verify new heading appears after 'Write documentation for new API' todo but before 'Blockers' heading. Check callout has blue_background with no icon and contains heading_3 'Hours by Category'. Confirm numbered list has exactly 4 items with specified hours. Verify bold paragraph shows 'Total productive hours: 40'. Check italic paragraph shows 'Tasks completed: 2 of 5 (40% completion rate)'.,✅,❌,Nested block in callout,,,
Alan,"On the 'Comprehensive Product Requirements Document' page, insert a new section immediately AFTER the 'User Stories' section but BEFORE the 'Technical Requirements' section. Title it with heading_2 '🎯 Acceptance Criteria'. Under this heading, analyze the existing structure and replicate the exact three-part pattern used in other sections. Add heading_3 'Acceptance Criteria - Part 1', followed by two paragraph blocks with the exact text 'Detailed acceptance criteria for Part 1. These criteria define the conditions that must be met for the feature to be considered complete.' Then add three bulletedList blocks: 'Key criterion 1 for Acceptance', 'Key criterion 2 for Acceptance', 'Key criterion 3 for Acceptance'. Repeat this exact pattern for Part 2 and Part 3. After completing all three parts, add a divider block, then a callout with Purple background containing heading_3 '✅ Validation Checklist' and a paragraph stating 'Total criteria sections: 3 | Total criteria points: 9'.","Verify that: 1) New 'Acceptance Criteria' section positioned exactly between 'User Stories' and 'Technical Requirements', 2) Three-part structure matches the pattern of other sections exactly, 3) Each part has 2 paragraphs and 3 bullet points with specified text, 4) Purple callout appears after divider with exact checklist summary",✅,❌,Nested block in callout,,,
Alan,"Create a comprehensive 'Meeting Notes Archive Summary' page as a child of 'Meeting Notes'. Fetch and analyze all child pages under 'Meeting Notes' (Sprint Planning - Jan 15, Team Retrospective). Structure the page with heading_1 '📚 Meeting Notes Archive Summary', then a toggle block with text '📅 Meeting Index (Click to expand)' containing a bulleted list of all meeting page titles with their icons. Add heading_2 '📊 Meeting Statistics', then create a callout with gray_background and no icon containing a table-like structure using paragraph blocks: 'Total Meetings Documented: [X]', 'Meetings with Action Items: [Y]', 'Average Blocks per Meeting: [Z]'. For each meeting page, create a heading_3 '[Icon] [Meeting Title]' followed by a quote block containing 'Meeting date: [extracted date]' and a paragraph showing 'Content blocks: [count] | Todo items: [todo count]'.",The page must accurately list all sub-pages under 'Project Documentation' with correct icons and creation dates. Active projects section must exclude archived pages and show correct workspace names. Statistics must be accurately calculated including the 30-day update count. Quick Links must only include pages with publishedMetadata.,✅,❌,toggle block,,,
Alan,"On the 'Company Handbook' page, locate the section containing policy information (identify by analyzing block content for terms like 'policy', 'procedure', or 'guidelines'). Insert immediately after this section but before the next major heading: a heading_2 '📐 Remote Work Policy' followed by a quote block with text 'Flexibility and productivity go hand in hand - our remote work policy reflects our trust in our team.' Then add heading_3 '🏠 Eligibility and Guidelines' with a numbered list: '1. All employees are eligible after 90-day probation period', '2. Maintain core hours: 10 AM - 3 PM in your local timezone', '3. Ensure reliable internet connection (minimum 25 Mbps)', '4. Attend all required team meetings via video'. Add another heading_3 '💼 Equipment and Setup' with a bulletedList: '• Company provides laptop and necessary software licenses', '• $500 home office setup stipend (one-time)', '• Monthly internet reimbursement up to $75'. End with a divider.",The new section must be inserted after existing policy content but before the next major section. All headings must include the specified emojis. The quote block must contain the exact philosophical statement. The numbered list must have exactly 4 items and the bulleted list exactly 3 items with the specified content and formatting.,✅,✅,one shot,,,
Alan,"Create a new 'Architecture Documentation Hub' page as a child of the 'Engineering Wiki'. Structure it with heading_1 '🏗️ Architecture Documentation Hub', then a paragraph 'Comprehensive overview of system architecture across all teams.' Fetch all pages under the 'Architecture' page hierarchy (including nested sub-pages like 'Frontend Architecture' and its children). For each architecture-related page found, create a heading_2 using the pattern '[icon] [page title] Documentation' where [icon] is the page's existing icon. Under each heading, add a bookmark block linking to that page. Count the total number of pages in the architecture hierarchy and add a callout at the top (after the intro paragraph) with Gray background and 📚 icon stating 'This hub references [X] architecture documents across [Y] main categories' where X is total pages and Y is the number of direct children of the Architecture page.","Verify that: 1) Page is created under 'Engineering Wiki', 2) Each architecture page gets a heading_2 with its icon preserved, 3) Bookmark blocks link to correct pages, 4) Gray callout shows correct counts (should find Architecture, Frontend Architecture, Component Library, State Management, Backend Architecture, API Design Patterns), 5) Heading pattern matches '[icon] [title] Documentation'.",✅,✅,,,,
Alan,"Create an 'Engineering Wiki Index' page as a child of 'Engineering Wiki'. This page must aggregate and organize content from the wiki and related pages. Start with heading_1 '🔍 Engineering Wiki Index'. Add a callout with Yellow background and '📚' icon containing 'Comprehensive index of all engineering documentation and resources'. Then create heading_2 '📖 Documentation Structure' with a hierarchical bulleted list showing the wiki's sub-pages. Add heading_2 '🔗 Cross-References' and find any page titles containing 'API', 'Documentation', 'Architecture', or 'Engineering' - list each as a bookmark block. Under heading_2 '👥 Contributors', create a numbered list of unique collaborators from the Engineering Wiki's sharing metadata, showing format: '1. 👤 [Name] ([Email]) - [Access Level]'. Finally, add heading_2 '📊 Wiki Statistics' with a paragraph stating 'Total documentation pages: [X]' and 'Total contributors: [Y]' based on your findings.","Page must be child of Engineering Wiki. Cross-references should include at least 'API Documentation' and 'Engineering Wiki' as bookmark blocks. Contributors list must show: Alice Chen (edit), Bob Martinez (edit), Carol Williams (edit), David (view only). Statistics should reflect accurate counts.",✅,✅,struggles with icon and block being exact,,,
Alan,"Navigate to the 'Code Examples Repository' page. First, find and count all code blocks that use typed languages (typescript, java, rust, go) versus dynamically typed languages (javascript, python, bash). Insert a new section titled '📊 Language Statistics' immediately AFTER the 'Java Examples' section (after the paragraph 'Common java pattern for production code.') but BEFORE any image blocks. This section must have: a heading_2 block with exact text '📊 Language Statistics', followed by a callout block with Yellow background containing a heading_3 'Language Type Analysis' and a bulleted list with these exact entries: 'Typed Languages: [COUNT] examples ([PERCENTAGE]%)', 'Dynamic Languages: [COUNT] examples ([PERCENTAGE]%)', 'SQL (Query Language): 1 example'. Then add a divider block, followed by a heading_3 '🏆 Most Common Languages' and a numbered list showing each language with its count, sorted from highest to lowest (e.g., '1. Javascript (1 example)'). Finally, immediately after this new section, insert another heading_2 block with text '🔧 DevOps Examples' and add a code block with language 'yaml' containing exactly: 'version: ""3.8"" services: app: build: . ports: - ""8080:8080"" environment: - NODE_ENV=production', followed by a paragraph 'Common docker-compose pattern for production code.'","Verify: 1) The '📊 Language Statistics' section appears exactly after 'Common java pattern for production code.' and before any images, 2) Typed language count = 4 (typescript, java, rust, go), dynamic count = 3 (javascript, python, bash), 3) Percentages calculated as typed=57%, dynamic=43%, 4) The numbered list shows all 8 languages sorted by count (all have 1 example), 5) The '🔧 DevOps Examples' section with yaml code block appears immediately after the statistics section, 6) All block types, text content, and formatting match exactly as specified",✅,❌,Nested block in callout,,,
Alan,"Create a comprehensive 'Engineering Metrics Dashboard' page as a child of 'Engineering Wiki'. Structure it with heading1 '🎯 Engineering Metrics Dashboard', then add heading2 '📊 Code Repository Analysis'. Fetch the 'Code Examples Repository' page and count code blocks by language. Create a numbered list showing: '1. Total code examples: [X]', '2. Most used language: [LANGUAGE] ([Y] examples)', '3. Languages with 2+ examples: [LIST]'. Add heading2 '🐛 Bug Tracking Metrics', fetch 'Bug Tracker' page, and add: 'Critical issues resolved: [X] of [Y] ([Z]%)', 'Overall bug resolution rate: [W]%'. Finally, add a callout with red background if resolution rate < 70%, yellow if 70-85%, or green if > 85%, with appropriate message.","Verify the page is created under 'Engineering Wiki', contains accurate code language counts, bug statistics are calculated correctly, and the callout color/message matches the overall resolution rate threshold.",✅,✅,,,,
Alan,"On 'Meeting Notes' main page, create a comprehensive meeting analytics section. After the 'Meeting Types' section, add heading2 '📊 Meeting Analytics'. Fetch all child pages (Sprint Planning, Team Retrospective). For each child page found, count: total blocks, heading blocks, todo blocks. Create a table-like structure with bulleted lists: '📅 Sprint Planning - Jan 15:', ' • Total content blocks: [X]', ' • Action items: [Y]', ' • Completion rate: [Z]%'. Do the same for Team Retrospective. Then add heading3 '🎯 Meeting Effectiveness Score' and calculate: if average completion rate >70% and average blocks >8, add green callout '✅ Meetings are productive!', otherwise yellow callout '⚡ Consider improving meeting structure'. End with a numbered list of recommendations based on the data.","Verify analytics section appears after Meeting Types, contains accurate block and todo counts for each meeting, calculates completion rates correctly, shows appropriate callout based on thresholds, and includes data-driven recommendations.",✅,✅,,,,
Alan,"On the 'Comprehensive Product Requirements Document' page, implement a comprehensive reorganization. First, if any child pages exist, create a new heading2 '📚 Documentation Structure' at the very beginning. Under this, add a numbered list with one item per child page in format: '[number]. [child page icon] [child page title]'. Then locate any existing heading2 sections and reorder them alphabetically by title (ignoring emojis). Between each reordered section, insert a divider block. Finally, at the end of the page, add heading2 '📅 Last Reorganized' followed by a callout with Blue background containing a paragraph with bold text: 'Date: [today's date] | Total sections: [count of heading2 blocks] | Child pages: [count of child pages]'.","If child pages exist, verify '📚 Documentation Structure' heading2 at top with numbered list of children showing icons and titles. Check all heading2 sections are reordered alphabetically (Design Specs, Overview, Success Metrics, Technical Requirements, User Stories) with dividers between each. Verify '📅 Last Reorganized' section at end with Blue callout containing bold paragraph with today's date and accurate counts.",✅,✅,,,,
Alan,"Create a comprehensive 'Weekly Planning Dashboard' page with precise structure. Start with heading_1 '📅 Weekly Planning Dashboard', then heading_2 '🎯 Week Overview' with a callout (blue_background, 📌 icon) containing exactly: 'Plan your week effectively with clear priorities and time blocks.' Add heading_2 '📆 Daily Breakdown' followed by five heading_3 blocks for '🌅 Monday' through '🌙 Friday'. Under each day, add exactly three unchecked to-do blocks: '⏰ Morning standup (9:00 AM)', '🎯 Focus time block (10:00 AM - 12:00 PM)', '📊 Progress review (4:30 PM)'. After Friday, add heading_2 '📈 Weekly Metrics' with a numbered list: '1. Total planned activities: 15', '2. Meetings scheduled: 5', '3. Focus time hours: 10'. End with a quote block containing 'Success is the sum of small efforts repeated day in and day out.'",Verify exact heading structure with emojis. Check each day has exactly three to-dos with specified times. Confirm blue callout after Week Overview. Verify numbered list under Weekly Metrics has exact values. Check quote block at end.,✅,✅,one shot,,,
Alan,"On the 'Feature Requests' page, create an advanced prioritization system. Add heading_2 '🎯 Priority Matrix' at the beginning, followed by three heading_3 blocks: '🔴 Critical Priority (P0)', '🟡 High Priority (P1)', and '🟢 Normal Priority (P2)'. Under each priority level, add a callout with matching background color (red_background for P0, yellow_background for P1, green_background for P2) containing a description. For P0: 'Features blocking major customer deals or causing revenue loss'. For P1: 'High-impact improvements requested by multiple enterprise clients'. For P2: 'Quality of life improvements and minor enhancements'. After each callout, add exactly 3 unchecked to-do blocks with format '☐ [Feature Name] - [Customer Count] customers requesting'. Then add heading_2 '📊 Request Analytics' with a paragraph showing 'Total features in queue: 9' followed by a bulleted list: '• P0 Features: 3 (33%)', '• P1 Features: 3 (33%)', '• P2 Features: 3 (33%)'. End with a quote block: 'Customer feedback drives our product roadmap.'",Verify three priority sections with matching callout colors. Check each section has exactly 3 to-dos with specified format. Confirm analytics section shows 9 total with 33% distribution. Verify quote block at end.,✅,✅,,,,
Alan,"On the 'Onboarding Guide' page, insert a progress tracking section immediately AFTER the 'First Day Tasks' numbered list but BEFORE the 'First Week Goals' heading. Add heading_3 'Progress Tracker' styled to match other headings, then create a callout with green background and '✅' icon containing: 'Track your onboarding progress below'. Under the callout, add three to-do blocks: '📧 Set up email and calendar', '🔐 Complete security training', '👋 Introduce yourself in #new-hires channel'. The formatting and structure must exactly match the pattern of existing task sections.","Check heading_3 'Progress Tracker' appears after last First Day task (order > 5) but before First Week Goals (order < 6). Verify green callout with ✅ icon and exact text, followed by exactly 3 unchecked todos with specified emojis and text.",✅,✅,,,,
Alan,"On the 'Engineering Wiki' page, perform a complex content restructuring. First, count all existing sections (heading_2 blocks) on the page. Insert a new 'Quick Navigation' section at the very top, immediately AFTER the main heading_1 but BEFORE any other content. Add heading_2 '🧭 Quick Navigation' followed by a callout (Gray background) containing the text 'Jump to any section:' in bold. Below this, create a numbered list with one item for each existing section, formatted as '[[link to #section-name]] - Brief description' where section-name matches each heading_2 exactly. After the last existing section, add a new heading_2 '📚 Related Resources' with three bookmark blocks: 'API Documentation' linking to '/api-docs', 'Design System' linking to '/design-system', and 'Team Directory' linking to '/team-directory'. Finally, add a divider and a paragraph with italic text: 'Last updated: January 28, 2024 | Total sections: [X]' where X is the count of heading_2 blocks including the new ones.",Quick Navigation must be the first section after the main title. The callout must be Gray with bold text. The numbered list must contain one entry for each original heading_2 section with proper link format. Related Resources must be added after all original content with exactly three bookmark blocks with specified titles and URLs. The final paragraph must show the correct total count of heading_2 blocks including the two new ones.,✅,✅,,,,
Alan,"On the 'Comprehensive Product Requirements Document' page, add a new section immediately AFTER the 'Overview - Part 3' heading but BEFORE any subsequent content. Insert a heading_2 '🔄 Revision History'. Below this, add a callout with gray background and 📅 icon containing a heading_3 'Latest Updates'. Inside the callout after the heading, add a numbered list with exactly: '1. 2024-02-15: Added API integration requirements', '2. 2024-02-10: Updated performance benchmarks', '3. 2024-02-05: Initial draft completed'. After the callout, add a divider, then a paragraph with italic text: '*For complete revision history, see version control system*'.","Revision History section appears after Overview - Part 3, contains gray callout with Latest Updates heading_3 inside it, numbered list with exact dates and descriptions, followed by divider and italic paragraph.",✅,✅,one shot,,,
Alan,"Navigate to the 'Comprehensive Product Requirements Document' page. This page contains multiple heading levels and sections. Insert a new 'Executive Summary' section immediately AFTER the main heading 'Product Requirements Document' but BEFORE the 'Overview' heading_2. Structure it as: heading_2 '📋 Executive Summary', followed by a callout with blue_background and '🎯' icon containing 'This document outlines [X] major sections with [Y] total requirements' where X is the count of heading_2 blocks and Y is the count of all paragraph blocks. Add a divider, then a paragraph stating 'Document version: 2.0 | Last updated: [today's date]' with the date portion in bold.",The Executive Summary must be positioned between the main title and Overview section. The callout must show accurate counts of heading_2 and paragraph blocks. The version paragraph must have bold formatting on the date only.,✅,✅,one shot,,,
Alan,"On the 'Weekly Standup Template' page, add a new section immediately AFTER the 'Blockers' heading2 but BEFORE any content that follows it. Insert a divider block, then add a heading2 with text '📊 Weekly Metrics', followed by a paragraph with bold text 'Team Velocity:' and normal text ' [Add sprint points completed]'. Next, create a callout block with blue_background, icon '📈', containing the text 'Track key metrics week-over-week to identify trends and improvement areas.' Finally, find all existing todo blocks that are checked (completed) and add italic text ' ✓ Done' to the end of each one's content.","A divider must appear after the 'Blockers' section, followed by heading2 '📊 Weekly Metrics', then a paragraph with bold 'Team Velocity:' and regular text about sprint points. A blue callout with chart icon must contain the exact tracking text. All previously checked todo items must have ' ✓ Done' in italics appended to their content.",✅,✅,one shot,,,
Alan,"Create a 'Project Roadmap Analytics' page as a sibling to 'Project Roadmap' (at the same level). Fetch and analyze all pages under Project Roadmap including Q1 Goals and Q2 Goals. Start with heading1 '📊 Roadmap Progress Analytics', then heading2 '🎯 Quarterly Objectives Summary'. Create a table-like structure using bulletedLists where each item shows 'Q[X] [YEAR]: [CHECKED]/[TOTAL] objectives completed ([PERCENTAGE]%)'. Add heading2 '📈 Key Results Tracking' and list all the Key Results found across quarter pages as a numberedList. Then add heading2 '🚦 Status Overview' with a callout having green_background if overall completion is above 50%, or orange_background if below, with icon '✅' or '⚠️' respectively, containing 'Overall roadmap completion: [X]%'. End with heading2 '🔮 Projected Timeline' and a paragraph stating 'At current velocity, full roadmap completion estimated by: [calculate based on Q1 being 66% done and Q2 being 0% done]'.",New page exists at same level as Project Roadmap. Quarterly summary shows Q1 2024: 2/3 (66%) and Q2 2024: 0/2 (0%). Key Results section lists all KR items found. Status callout is orange with warning icon showing 33% overall completion. Timeline projection makes a reasonable estimate based on current progress.,✅,✅,one shot,,,
